콘텐츠,보그걸,초강력 워터프루프,0.0211
콘텐츠,보그걸,셔츠 초간단 연출법,0.0144
콘텐츠,보그걸,센스 넘치는 여행 소품들,0.0091
콘텐츠,보그걸,부위별 셀프 운동법,0.0209
마케팅,중복이벤트,,0.0072
콘텐츠,아이즈,이국주 퍼스널리티 오전,0.0177
콘텐츠,아이즈,강동원 인형놀이 오후,0.0091
뉴스,중앙일보,호위무사 박수경 팬클럽까지 예쁘면 모든게 용서되나 경악 저녁,0.0338
뉴스,중앙일보,빈 라덴 사살됐다 살아있다 여전히 풀리지 않는 미스터리 저녁,0.0142
뉴스,한국일보,남친에게 이런 짓까지 미녀스타의 충격적 실체 저녁,0.0901
뉴스,한국일보,택배등기 반송메시지 조심해야 하는 이유 저녁,0.0148
뉴스,아시아투데이,섹시 아이콘 현아 저녁,0.012
뉴스,스포츠조선,아시안게임 엔트리 저녁,0.0072
뉴스,전자신문,원하지 않는 메신저 기록이 삭제된다 오전,0.0114
뉴스,전자신문,대공습모바일 결제 트렌드 바뀌나 저녁,0.0047
콘텐츠,북,남인숙,0.0098
뉴스,중앙일보,단원고 생존학생들 충격적 증언 손 내밀면 닿을 거리인데 해경은 오전,0.0399
뉴스,중앙일보,무더운 여름엔 치맥이 제격 자주 먹었다간불편한 진실 오전,0.0194
뉴스,한국일보,이순신 장군을 원에 오전,0.015
뉴스,아시아투데이,뒷태여신 오전,0.0243
뉴스,월스트리트,내가 곧 해고 당할 수 있다는 가지 징후가 있다 오전,0.0257
콘텐츠,코스모폴리탄,그 남자 키스 실력이 형편없다고 대남성,0.0251
콘텐츠,코스모폴리탄,그 남자 키스 실력이 형편없다고 여성,0.0263
마케팅,여름휴가,연예인 이벤트,0.012
뉴스,한국일보,수지의 몸 더듬더니 충격 동영상의 진실은 오전,0.0806
콘텐츠,엘르,스타들의 꽃시절 오전,0.0225
콘텐츠,엘르,고양이의 나날 오후,0.0078
콘텐츠,엘르,컬러펜슬 저녁,0.0157
마케팅,플레이더사이렌,이벤트,0.0038
콘텐츠,에이스탁,일 시장전망,0.0053
뉴스,중앙일보,유병언 운전기사 양회정 자수 유병언 도주 경로 밝혀지나 오후,0.0179
뉴스,중앙일보,도매니저 모르면 간첩 북한서도 별그대 앓이 중 오후,0.0131
뉴스,한국일보,레고랜드 지으려고 땅 팠더니 엄청난 보물이 오후,0.0372
뉴스,한국일보,벌써 승 쾌투 펼쳤는데 류현진이 초라해 보이는 까닭 오후,0.0232
뉴스,아시아투데이,지나스트레칭법 오후,0.0256
뉴스,월스트리트,세계 최고 명사들의 특별칼럼  오후,0.0055
뉴스,스포츠조선,야구 대표팀 병역문제 오후,0.0053
뉴스,전자신문,기업 웨어러블 시장 진출 오후,0.0067
콘텐츠,타임트리,의정부고,0.018
마케팅,사전예약안내,,0.0055
마케팅,휴가비,지원 이벤트,0.007
뉴스,중앙일보,손흥민민아 스타커플 탄생 프러포즈에 손 잡고 데이트까지 저녁,0.0396
뉴스,중앙일보,가자지구의 비극이 고스란히 아이들이 무슨 죄 가슴 절절 저녁,0.0124
뉴스,한국일보,박유천한예리 러브스토리 얼마나 애틋했길래 깜짝 저녁,0.0517
뉴스,한국일보,김치에 벌레 들어있다 알고 봤더니 황당 저녁,0.024
뉴스,아시아투데이,슈퍼키드 저녁,0.0038
뉴스,스포츠조선,포스트 김연아 박소연 저녁,0.0093
뉴스,전자신문,두명만 뭉쳐도 인터넷 공짜 저녁,0.01
콘텐츠,다음,팟 여자프러포즈,0.0231
콘텐츠,다음,버즈런처 걸스데이,0.0089
콘텐츠,다음,스토리볼 년전셀카,0.009
콘텐츠,다음,영화 군도평점,0.0218
콘텐츠,다음,웹툰 마지막통화,0.0342
콘텐츠,다음,티스토리 남자들이싫어하는,0.0544
뉴스,중앙일보,손흥민 민아와 데이트 때 차량 가격이 헉 연봉 얼마길래 오전,0.0454
뉴스,중앙일보,양회정 유병언 마지막 본 것은 사망 미스터리 미궁속으로 오전,0.0147
뉴스,한국일보,달콤한 약속 믿었다 그만값싼 스마트폰 된통 당했다 오전,0.024
뉴스,아시아투데이,국민오빠 송해 오전,0.0167
뉴스,월스트리트,시각장애인용 스마트슈즈가 웨어러블 시장에서 큰 화제입니다 오전,0.0104
뉴스,전자신문, 는 안드로이드계 강자 오전,0.0103
콘텐츠,아이즈,최규석 인터뷰 오전,0.0057
콘텐츠,엘르,북경의맛 오전,0.009
콘텐츠,엘르,다이어트 딜해라 오후,0.019
콘텐츠,엘르,여행과 휴식이 보장되는 곳 저녁,0.0114
콘텐츠,코스모폴리탄,서울에서 즐기는 여름 바캉스 대남성,0.0256
콘텐츠,코스모폴리탄,서울에서 즐기는 여름 바캉스 여성,0.0204
마케팅,호핀,인생영화 이벤트,0.0052
뉴스,한국일보,바캉스 오전,0.0175
콘텐츠,에이스탁,일 시장전망,0.0056
콘텐츠,아이즈,송곳월드 오후,0.0043
뉴스,중앙일보,데이트비 돌려줘 결별 후 소송 건 남성에 전 여친 맞서며 오후,0.0323
뉴스,중앙일보,같은 얼굴 다른 느낌 이력서에 증명사진 수정했더니 오후,0.0306
뉴스,한국일보,국민여동생 김유정김소현 어마어마한 성인식을 깜짝 오후,0.0429
뉴스,한국일보,결혼 년만에 알게된 남편의 충격적 과거 오후,0.0625
뉴스,아시아투데이,스마트워치 오후,0.0076
뉴스,월스트릿트,줄리 블랙몬의 독특한 사진 세계 홈그로운 오후,0.0101
뉴스,전자신문,카메라 업계 고정관념 깬 제품으로 정면 승부 오후,0.0089
콘텐츠,에스콰이어,입맛의 보편성 김치볶음밥,0.0111
뉴스,중앙일보,쉴 땐 쉬어야 재충전 대통령은방콕휴가도 안 돼 저녁,0.0181
뉴스,중앙일보,이효리 오일풀링 다이어트 무턱대고 따라하다간 위험 저녁,0.0362
뉴스,한국일보,실체 폭로당한 신세경 대체 어떤 모습 보였길래 저녁,0.0576
뉴스,한국일보,카카오톡의 변신 저녁,0.0078
뉴스,아시아투데이,명상으로 치유 저녁,0.0085
뉴스,전자신문,헬스에너지 거물들 폭풍 영입 저녁,0.0045
콘텐츠,북,마종기,0.004
콘텐츠,북,문호성,0.0078
콘텐츠,북,손선영,0.0046
콘텐츠,북,수오,0.0043
콘텐츠,에스콰이어,다른 누구도 아닌 손수현,0.0064
콘텐츠,에스콰이어,한보름 천천히 한 걸음씩,0.0185
사전예약,히어로스카이컨텐츠슬랏,,0.0044
뉴스,한국일보,퇴사하는 여직원에게 이런 말하면 절대 안 된다 오전,0.0287
뉴스,아시아투데이,최민식 오전,0.0078
뉴스,월스트리트,구글이 인체지도 제작 프로젝트에 전격 착수합니다 오전,0.007
뉴스,전자신문,삼성 첫 타이젠폰 러시아 출시 불투명 오전,0.0072
콘텐츠,엘르,홍진호 오전,0.0074
콘텐츠,엘르,훈겨만들기 오후,0.013
콘텐츠,엘르,피어싱의 세계 저녁,0.0114
콘텐츠,아이즈,명량 오전,0.02
콘텐츠,아이즈,씨스타 오후,0.009
콘텐츠,코스모폴리탄,결혼을 거부하는 남자들 대체 이유가 뭘까 대남성,0.0164
콘텐츠,코스모폴리탄,결혼을 거부하는 남자들 대체 이유가 뭘까 여성,0.0153
콘텐츠,다음,팟 답답한영상,0.0284
콘텐츠,다음,스토리볼 대커플,0.0187
콘텐츠,다음,스토리볼 네티즌평점또낚였니,0.0179
콘텐츠,다음,테마지도 냉면집,0.0121
콘텐츠,다음,티스토리 제주휴가지,0.018
콘텐츠,다음,티스토리 옥수수,0.0253
뉴스,중앙일보,여학생 줄세워 뺨 때리는 교사 머리 흔들릴 정도로 오전,0.0536
